start_layer,start_idx,end_layer,end_idx,coeffs_x,coeffs_y,kappa,points_x,points_y,raceline
1,2,2,1,155.116 12.0212 1.56084 -1.03734,-140.311 -8.99087 2.22552 -1.47936,0
1,2,2,2,155.116 11.9976 0.0188095 -0.0121809,-140.311 -8.97316 0.0251696 -0.0163,0
1,2,2,3,155.116 12.0171 -1.65299 1.09948,-140.311 -8.9878 -2.07814 1.38207,0
1,2,2,4,155.116 12.0798 -3.45383 2.29714,-140.311 -9.03464 -4.08477 2.71595,0
1,3,2,1,154.576 12.0803 2.99577 -1.99171,-141.032 -9.04898 4.55168 -3.02714,0
1,3,2,2,154.576 12.0137 1.58274 -1.05258,-141.032 -8.99906 2.2548 -1.49976,0
1,3,2,3,154.576 11.99 0.0406756 -0.0274129,-141.032 -8.98133 0.0543833 -0.0366504,0
1,3,2,4,154.576 12.0096 -1.63108 1.08422,-141.032 -8.99598 -2.04889 1.3617,0
1,3,2,5,154.576 12.0721 -3.43181 2.28179,-141.032 -9.04287 -4.05536 2.69547,0
1,4,2,2,154.037 12.0727 3.01778 -2.00704,-141.752 -9.05721 4.58113 -3.04765,0
1,4,2,3,154.037 12.0061 1.60465 -1.06785,-141.752 -9.00723 2.28407 -1.52015,0
1,4,2,4,154.037 11.9824 0.0625623 -0.04266,-141.752 -8.98948 0.0835744 -0.0569845,0
1,4,2,5,154.037 12.002 -1.60915 1.06894,-141.752 -9.00415 -2.01965 1.34134,0
1,4,2,6,154.037 12.0645 -3.40977 2.26643,-141.752 -9.05109 -4.02597 2.67501,0
1,5,2,3,153.497 12.0651 3.03982 -2.02238,-142.472 -9.06543 4.61055 -3.06815,0
1,5,2,4,153.497 11.9985 1.62659 -1.08313,-142.472 -9.0154 2.31331 -1.54052,0
1,5,2,5,153.497 11.9748 0.0844697 -0.0579222,-142.472 -8.99763 0.112743 -0.0773023,0
1,5,2,6,153.497 11.9944 -1.5872 1.05364,-142.472 -9.01232 -1.99044 1.32099,0
1,5,2,7,153.497 12.0569 -3.38771 2.25106,-142.472 -9.0593 -3.9966 2.65456,0
1,6,2,4,152.957 12.0574 3.06187 -2.03774,-143.193 -9.07365 4.63995 -3.08863,0
1,6,2,5,152.957 11.9909 1.64854 -1.09842,-143.193 -9.02356 2.34252 -1.56087,0
1,6,2,6,152.957 11.9673 0.106398 -0.0731996,-143.193 -9.00578 0.141889 -0.0976037,0
1,6,2,7,152.957 11.9868 -1.56524 1.03833,-143.193 -9.02048 -1.96126 1.30067,0
1,6,2,8,152.957 12.0493 -3.36563 2.23567,-143.193 -9.06751 -3.96726 2.63413,0
