 alpha_m, ax_racetraj_mps2, kappa_racetraj_radpm, psi_racetraj_rad, s_racetraj_m, vx_racetraj_mps, width_left_m, width_right_m, x_normvec_m, y_normvec_m, y_ref_m,delta_s,x_bound_l,x_bound_r,x_raceline,x_ref_m,y_bound_l,y_bound_r,y_raceline
0.324286,0.492101,0.149733,-3.01063,30.0951,4.74882,0.816393,1.21241,-0.998028,-0.0627691,-9.49392,0.979028,-3.63563,-5.66043,-4.77406,-4.45041,-9.44267,-9.57002,-9.51427
0.241783,1.24371,0.127103,-2.91394,31.0741,4.82081,0.95472,1.10308,-0.986522,-0.163626,-10.4338,0.992389,-3.40075,-5.43081,-4.58112,-4.3426,-10.2776,-10.6143,-10.4734
0.141078,3.05439,0.0807857,-2.7689,32.0665,5.27118,1.06115,0.999609,-0.966352,-0.257223,-11.3804,1.00965,-3.11244,-5.10386,-4.27422,-4.13789,-11.1075,-11.6375,-11.4167
0.0457919,3.6029,0.0637383,-2.71839,33.0761,5.66228,1.08334,0.943842,-0.939498,-0.342554,-12.3307,1.03274,-2.82022,-4.72476,-3.88104,-3.83802,-11.9596,-12.654,-12.3464
-0.0271202,2.4446,0.0450733,-2.64409,34.1089,6.48361,1.17488,0.894517,-0.907685,-0.419652,-13.2818,1.06295,-2.37834,-4.2567,-3.42015,-3.44477,-12.7888,-13.6572,-13.2705
-0.0694085,-1.72249,0.0395061,-2.61448,35.1718,6.74237,1.22254,0.846861,-0.87273,-0.488204,-14.2308,1.09931,-1.89292,-3.69895,-2.89929,-2.95987,-13.634,-14.6443,-14.1969
-0.0790974,-3.4283,0.0465644,-2.5567,36.2711,6.22238,1.26917,0.80095,-0.834272,-0.551353,-15.1742,1.11723,-1.32635,-3.0534,-2.3192,-2.38519,-14.4745,-15.6158,-15.1306
-0.0592645,-3.27597,0.0611202,-2.51921,37.3884,5.82396,1.28233,0.790736,-0.782857,-0.622202,-16.0845,1.08976,-0.723777,-2.34669,-1.68126,-1.72766,-15.2866,-16.5765,-16.0476
-0.0111403,-2.67946,0.101314,-2.40811,38.4781,5.00186,1.23614,0.83886,-0.703558,-0.710638,-16.9003,1.03019,-0.131555,-1.59144,-0.993414,-1.00125,-16.0219,-17.4964,-16.8924
0.0673529,-2.45389,0.151591,-2.31968,39.5083,4.61166,1.1049,0.989352,-0.568307,-0.822816,-17.558,0.967009,0.407443,-0.782734,-0.258755,-0.220478,-16.6488,-18.372,-17.6134
0.168851,-1.69937,0.304948,-2.00403,40.4753,3.84648,0.870114,1.22033,-0.353688,-0.935364,-17.9959,0.936357,0.908074,0.16871,0.540605,0.600326,-17.182,-19.1373,-18.1538
0.256062,-0.603762,0.35641,-1.77225,41.4117,3.52369,0.647571,1.31271,-0.095481,-0.995431,-18.1934,0.940865,1.51181,1.32465,1.42554,1.44998,-17.5488,-19.5001,-18.4483
0.27339,-0.223916,0.330915,-1.25853,42.3526,3.27893,0.576609,1.42107,0.151418,-0.98847,-18.1663,0.967184,2.23284,2.53532,2.36154,2.32015,-17.5964,-19.571,-18.4366
0.183547,4.43821,0.229598,-1.05991,43.3197,3.23077,0.668551,1.38074,0.345674,-0.938355,-17.9322,0.99364,2.97146,3.67985,3.26601,3.20256,-17.3048,-19.2278,-18.1044
0.0245507,1.25452,0.0631779,-0.958836,44.3134,4.08059,0.838183,1.23682,0.438876,-0.898548,-17.5418,0.993361,3.72032,4.63098,4.09895,4.08818,-16.7887,-18.6532,-17.5639
-0.139023,-3.76614,-0.0839548,-0.968978,45.3067,4.04104,1.11591,0.959094,0.425961,-0.904741,-17.1121,0.97728,4.49103,5.3749,4.90715,4.96637,-16.1025,-17.9799,-16.9863
-0.306943,-1.12294,-0.289597,-1.09842,46.284,3.32529,1.46297,0.620524,0.288749,-0.957405,-16.7674,0.95535,5.40391,6.00551,5.73771,5.82634,-15.3667,-17.3615,-16.4735
-0.412696,-0.108106,-0.414056,-1.34632,47.2394,3.07985,1.42728,0.437304,0.0129746,-0.999916,-16.6293,0.932756,6.63901,6.66321,6.65218,6.65753,-15.2022,-17.0666,-16.2167
-0.418011,-0.205397,-0.348885,-1.93303,48.1721,3.1474,1.54127,0.445804,-0.273426,-0.961893,-16.7415,0.921315,7.87805,7.33474,7.57092,7.45663,-15.2589,-17.1703,-16.3394
-0.343116,-0.0698816,-0.282507,-2.1549,49.0934,3.10138,1.32327,0.75173,-0.468343,-0.883547,-17.0588,0.93688,8.84821,7.8764,8.38916,8.22847,-15.8896,-17.723,-16.7556
-0.202212,2.68113,-0.170027,-2.31423,50.0303,3.08557,1.06126,1.01374,-0.585789,-0.810464,-17.5316,0.962515,9.6,8.38449,9.09678,8.97833,-16.6715,-18.3532,-17.3677
-0.0529449,5.71642,-0.012188,-2.42527,50.9928,4.67079,0.902945,1.17206,-0.659096,-0.752059,-18.1182,0.99264,10.3059,8.93827,9.74566,9.71077,-17.4391,-18.9996,-18.0784
0.0486513,5.55388,-0.0094486,-2.43282,51.9855,5.46068,0.818604,1.25398,-0.709288,-0.704919,-18.7956,1.02629,11.0093,9.53929,10.3942,10.4287,-18.2185,-19.6795,-18.8299
0.102038,5.33082,0.0045805,-2.43601,53.0118,6.73361,0.784064,1.27131,-0.741962,-0.670442,-19.5432,1.05595,11.7166,10.1916,11.0592,11.1349,-19.0175,-20.3955,-19.6116
0.113457,5.23007,0.0068931,-2.43199,54.0677,7.26667,0.809201,1.26329,-0.761862,-0.64774,-20.3406,1.07587,12.4484,10.8694,11.7455,11.8319,-19.8165,-21.1589,-20.4141
0.0927115,5.21541,0.0096665,-2.42016,55.1436,8.21817,0.852297,1.2227,-0.771473,-0.636262,-21.1674,1.08231,13.18,11.5792,12.451,12.5225,-20.6251,-21.9453,-21.2263
0.0523955,5.24438,0.010371,-2.41316,56.2259,8.65099,0.955625,1.11512,-0.772111,-0.635488,-22.0029,1.0734,13.9472,12.3484,13.1689,13.2094,-21.3957,-22.7116,-22.0362
0.00598,5.34127,0.0149427,-2.39513,57.2993,9.46833,1.0011,1.0739,-0.763333,-0.646005,-22.8269,1.05112,14.6594,13.0754,13.8906,13.8952,-22.1802,-23.5207,-22.8308
-0.0349122,5.4114,0.0082508,-2.38696,58.3504,9.8553,1.07761,0.99739,-0.750115,-0.661308,-23.6219,1.02846,15.3904,13.8339,14.6083,14.5821,-22.9092,-24.2814,-23.5988
-0.0624903,5.51364,-0.0035641,-2.38405,59.3789,10.6017,1.13364,0.941361,-0.739332,-0.673341,-24.3878,1.00992,16.1072,14.5731,15.3152,15.269,-23.6245,-25.0217,-24.3457
-0.0735573,4.62026,-0.0077803,-2.38801,60.3888,10.9597,1.1749,0.9001,-0.732047,-0.681254,-25.131,0.995203,16.8139,15.2949,16.0077,15.9538,-24.3306,-25.7442,-25.0809
-0.0675466,1.77129,-0.0163536,-2.40499,61.384,11.4686,1.15323,0.921769,-0.728481,-0.685066,-25.8577,0.983916,17.4744,15.9628,16.6835,16.6343,-25.0677,-26.4892,-25.8114
-0.0447196,-0.271363,-0.0200614,-2.41773,62.3679,11.5762,1.18293,0.89207,-0.728934,-0.684584,-26.5741,0.975653,18.1705,16.658,17.3409,17.3083,-25.7643,-27.1848,-26.5435
-0.0066199,-0.891666,-0.0218892,-2.43249,63.3436,11.5598,1.16169,0.913312,-0.73351,-0.679679,-27.2865,0.970018,18.8256,17.3036,17.9784,17.9735,-26.497,-27.9073,-27.282
0.0428934,-1.1181,-0.0231436,-2.46435,64.3136,11.4292,1.14739,0.922639,-0.74217,-0.670212,-28.0012,0.966801,19.4795,17.9432,18.5961,18.6279,-27.2322,-28.6195,-28.0299
0.0984928,-1.59703,-0.0231985,-2.48058,65.2804,11.3606,1.09857,0.976433,-0.754703,-0.656067,-28.7243,0.966171,20.0984,18.5324,19.195,19.2693,-28.0035,-29.3649,-28.7889
0.154741,-2.04526,-0.023454,-2.51365,66.2466,11.1452,1.0671,1.00474,-0.770725,-0.637168,-29.4621,0.96866,20.7178,19.121,19.7761,19.8954,-28.7822,-30.1023,-29.5607
0.206478,-2.74687,-0.0214966,-2.5294,67.2152,11.016,1.02061,1.07377,-0.789686,-0.613512,-30.2209,0.975065,21.3101,19.6562,20.341,20.5041,-29.5947,-30.8796,-30.3476
0.246592,-3.26218,-0.018521,-2.5434,68.1903,10.84,0.993968,1.09659,-0.810864,-0.585235,-31.0069,0.986646,21.8992,20.204,20.8932,21.0932,-30.4251,-31.6486,-31.1512
0.267045,-4.50095,-0.0147251,-2.56621,69.1769,10.3769,0.945149,1.12906,-0.833504,-0.552514,-31.8263,1.00518,22.4483,20.7194,21.4379,21.6605,-31.3041,-32.4501,-31.9738
0.261198,-5.13937,-0.0145639,-2.57646,70.1821,10.0687,0.946267,1.12313,-0.856515,-0.516121,-32.6854,1.03161,23.0144,21.2419,21.9802,22.2039,-32.197,-33.2651,-32.8202
0.225888,-5.98778,-0.0215598,-2.60263,71.2137,9.3005,0.94299,1.11915,-0.879795,-0.475353,-33.5904,1.06793,23.5507,21.7365,22.5224,22.7211,-33.1422,-34.1224,-33.6978
0.162888,-5.73135,-0.0173065,-2.6162,72.2816,8.83836,1.00676,1.06264,-0.89883,-0.438297,-34.5467,1.10026,24.1154,22.2554,23.0641,23.2105,-34.1054,-35.0124,-34.6181
0.0794427,-4.77427,0.0113671,-2.62152,73.3819,7.91001,1.05211,1.01729,-0.906336,-0.422557,-35.5403,1.1089,24.6347,22.7591,23.6091,23.6811,-35.0957,-35.9702,-35.5739
-0.0172852,-4.1999,0.022971,-2.60954,74.4908,7.47559,1.04369,1.02571,-0.901089,-0.433635,-36.5396,1.09041,25.0921,23.2274,24.1673,24.1517,-36.087,-36.9843,-36.5321
-0.117149,-2.96511,0.0490699,-2.55997,75.5812,6.6905,1.05352,1.01588,-0.882355,-0.470584,-37.512,1.04638,25.571,23.7451,24.7448,24.6415,-37.0162,-37.99,-37.4569
-0.206528,-2.59522,0.063508,-2.52052,76.6276,6.37273,1.0587,1.01443,-0.844287,-0.535891,-38.4252,0.983393,26.0635,24.3132,25.344,25.1697,-37.8578,-38.9688,-38.3145
-0.267524,-2.06268,0.0970849,-2.40979,77.611,5.81424,1.11752,0.957476,-0.776537,-0.630072,-39.2466,0.916637,26.6233,25.012,25.9633,25.7555,-38.5425,-39.8499,-39.0781
-0.278902,-2.05893,0.126878,-2.33127,78.5276,5.56037,1.1694,0.85231,-0.660303,-0.750999,-39.944,0.882598,27.1904,25.8555,26.6024,26.4182,-39.0658,-40.5841,-39.7346
-0.225514,-1.95159,0.151199,-2.23337,79.4102,5.29483,1.15948,0.921519,-0.49463,-0.869103,-40.4859,0.904958,27.7496,26.7202,27.2876,27.176,-39.4782,-41.2868,-40.2899
-0.109825,-0.839959,0.154341,-2.01807,80.3152,4.80446,1.01577,1.02014,-0.317355,-0.948307,-40.8627,0.953698,28.3484,27.7023,28.0609,28.0261,-39.8994,-41.8301,-40.7585
0.0453828,-0.36675,0.160057,-1.90777,81.2689,4.68048,0.949555,1.09194,-0.15632,-0.987707,-41.0853,0.999909,29.0938,28.7747,28.9383,28.9454,-40.1474,-42.1638,-41.1301
