alpha_m,ax_racetraj_mps2,delta_s,kappa_racetraj_radpm,psi_racetraj_rad,s_racetraj_m,vx_racetraj_mps,width_left_m,width_right_m,x_bound_l,x_bound_r,x_normvec_m,x_raceline,x_ref_m,y_bound_l,y_bound_r,y_normvec_m,y_raceline,y_ref_m
0.199522,1.90673,2.99671,-5.15e-05,-2.20823,1942.61,53.6758,2.53049,9.0781,99.5783,92.6702,-0.595085,97.9537,98.0725,-94.4659,-103.795,-0.803663,-96.6599,-96.4996
0.19956,1.89431,2.99671,-5.32e-05,-2.20833,1945.61,53.7468,2.4907,9.12282,101.963,95.0507,-0.59521,100.362,100.481,-96.2816,-105.614,-0.80357,-98.4434,-98.2831
0.199598,1.86975,2.99671,-5.64e-05,-2.20855,1948.61,53.8871,2.44602,9.16593,104.345,97.4318,-0.595341,102.77,102.889,-98.1016,-107.432,-0.803473,-100.227,-100.067
0.199636,1.85762,2.99671,-5.8e-05,-2.20867,1951.6,53.9565,2.41577,9.19126,106.735,99.8231,-0.595478,105.177,105.296,-99.9105,-109.235,-0.803371,-102.012,-101.851
0.199673,1.83363,2.99671,-6.13e-05,-2.20891,1954.6,54.0935,2.3832,9.22692,109.123,102.208,-0.595621,107.585,107.704,-101.722,-111.048,-0.803265,-103.796,-103.636
0.199709,1.82178,2.9967,-6.29e-05,-2.20903,1957.6,54.1613,2.36455,9.25434,111.519,104.597,-0.59577,109.992,110.111,-103.522,-112.854,-0.803155,-105.581,-105.421
0.199745,1.79835,2.9967,-6.61e-05,-2.20929,1960.59,54.2952,2.33209,9.27333,113.907,106.991,-0.595924,112.398,112.517,-105.334,-114.654,-0.803041,-107.367,-107.207
0.19978,1.78676,2.9967,-6.77e-05,-2.20942,1963.59,54.3614,2.29685,9.28012,116.293,109.392,-0.596085,114.805,114.924,-107.149,-116.444,-0.802922,-109.153,-108.993
0.199815,1.76386,2.9967,-7.1e-05,-2.2097,1966.59,54.4922,2.26345,9.29011,118.679,111.79,-0.596251,117.21,117.33,-108.962,-118.237,-0.802798,-110.94,-110.779
0.199849,1.75254,2.9967,-7.26e-05,-2.20984,1969.58,54.5569,2.2358,9.30402,121.069,114.186,-0.596423,119.616,119.735,-110.772,-120.034,-0.80267,-112.727,-112.566
0.199882,1.73016,2.9967,-7.58e-05,-2.21014,1972.58,54.6848,2.22418,9.31296,123.467,116.584,-0.596601,122.021,122.14,-112.569,-121.828,-0.802538,-114.514,-114.354
0.199914,1.71909,2.99669,-7.74e-05,-2.21029,1975.58,54.748,2.19935,9.33082,125.858,118.977,-0.596784,124.426,124.545,-114.377,-123.629,-0.802402,-116.303,-116.142
0.199945,1.69721,2.99669,-8.07e-05,-2.21061,1978.57,54.8731,2.17398,9.35284,128.247,121.366,-0.596974,126.83,126.95,-116.187,-125.434,-0.802261,-118.091,-117.931
0.199974,1.6864,2.99669,-8.23e-05,-2.21077,1981.57,54.9349,2.1422,9.37759,130.633,123.754,-0.597169,129.234,129.354,-118.002,-127.242,-0.802115,-119.88,-119.72
0.2,1.66501,2.99669,-8.02e-05,-2.2111,1984.57,55.0571,2.11358,9.39274,133.02,126.146,-0.59737,131.638,131.757,-119.815,-129.043,-0.801966,-121.67,-121.51
0.199994,1.65443,2.99669,-7.51e-05,-2.21126,1987.56,55.1175,2.0937,9.41002,135.411,128.537,-0.597577,134.041,134.16,-121.622,-130.845,-0.801812,-123.461,-123.3
0.199875,1.63351,2.99669,-6.21e-05,-2.21153,1990.56,55.2371,2.08374,9.41537,137.808,130.934,-0.59779,136.443,136.563,-123.421,-132.639,-0.801653,-125.252,-125.091
0.199536,1.62317,2.99669,-5.56e-05,-2.21165,1993.56,55.2962,2.0713,9.43291,140.203,133.324,-0.598008,138.845,138.965,-125.223,-134.444,-0.80149,-127.043,-126.883
0.198869,1.60271,2.99669,-4.27e-05,-2.21184,1996.55,55.4131,2.05639,9.44084,142.597,135.719,-0.598232,141.247,141.366,-127.028,-136.241,-0.801323,-128.835,-128.676
0.197765,1.5926,0,-3.62e-05,-2.21192,1999.55,55.4709,2.04123,9.44176,144.989,138.117,-0.598463,143.649,143.768,-128.833,-138.033,-0.801151,-130.627,-130.469
