alpha_m,ax_racetraj_mps2,delta_s,kappa_racetraj_radpm,psi_racetraj_rad,s_racetraj_m,vx_racetraj_mps,width_left_m,width_right_m,x_bound_l,x_bound_r,x_normvec_m,x_raceline,x_ref_m,y_bound_l,y_bound_r,y_normvec_m,y_raceline,y_ref_m
0.0561328,-7.71221,3.00757,0.0065355,1.62402,254.559,28.6941,6.82666,4.59759,172.353,171.572,-0.0683113,171.883,171.887,-272.716,-261.318,0.997664,-265.849,-265.905
0.0881603,-7.04191,3.00847,0.0080579,1.65323,257.566,27.6244,7.19123,4.19717,169.534,168.514,-0.0894907,168.882,168.89,-273.304,-261.961,0.995988,-266.054,-266.142
0.11693,-6.778,3.0074,0.0087871,1.67007,260.575,27.1099,7.56306,3.8355,166.759,165.464,-0.113565,165.886,165.9,-273.96,-262.636,0.993531,-266.33,-266.446
0.141473,-6.36357,3.00502,0.0101961,1.70805,263.582,26.1084,7.92444,3.5288,164.034,162.424,-0.140562,162.9,162.92,-274.673,-263.333,0.990072,-266.687,-266.827
0.161458,-6.20675,3.00209,0.0108754,1.72912,266.587,25.6164,8.21433,3.28614,161.357,159.396,-0.170496,159.929,159.957,-275.387,-264.055,0.985358,-267.134,-267.293
0.177066,-5.96738,2.99945,0.0122289,1.77531,269.589,24.639,8.43009,3.11384,158.727,156.38,-0.203348,156.977,157.013,-276.106,-264.804,0.979107,-267.679,-267.852
0.188728,-5.86199,2.99806,0.0129157,1.80045,272.589,24.1499,8.54908,3.03383,156.138,153.369,-0.239064,154.049,154.094,-276.815,-265.568,0.971004,-268.33,-268.514
0.196709,-5.54265,2.99898,0.014438,1.85503,275.587,23.1685,8.57342,3.0373,153.585,150.363,-0.277512,151.151,151.206,-277.522,-266.367,0.960722,-269.096,-269.285
0.2,-4.91108,3.00311,0.0154628,1.88492,278.586,22.6851,8.4658,3.17164,151.048,147.341,-0.318568,148.287,148.351,-278.201,-267.17,0.9479,-269.986,-270.176
0.191772,-3.63352,3.01093,0.0195162,1.95439,281.589,21.8704,8.23171,3.44199,148.513,144.291,-0.36171,145.466,145.536,-278.868,-267.985,0.932291,-271.015,-271.194
0.15435,-3.40156,3.01312,0.0212738,1.99516,284.6,21.5357,7.87002,3.83714,145.976,141.199,-0.408034,142.702,142.765,-279.533,-268.845,0.912967,-272.207,-272.348
0.0829788,-3.22598,3.00334,0.0233976,2.08492,287.613,20.9068,7.34845,4.38236,143.441,138.039,-0.460498,140.019,140.057,-280.174,-269.761,0.887661,-273.578,-273.651
-0.0080597,-3.18843,2.9866,0.0242202,2.13252,290.616,20.5959,6.67008,5.10227,140.911,134.79,-0.519948,137.447,137.443,-280.818,-270.762,0.854198,-275.127,-275.12
-0.0988155,-3.04492,2.97098,0.0259625,2.23276,293.603,19.9716,5.8791,6.0236,138.393,131.425,-0.585367,135.009,134.951,-281.538,-271.887,0.810769,-276.851,-276.771
-0.168184,-2.63767,2.9674,0.0270374,2.28577,296.574,19.6644,4.97219,7.02192,135.872,128.01,-0.655534,132.723,132.613,-282.375,-273.318,0.755166,-278.747,-278.62
-0.2,-1.33726,2.97792,0.0309874,2.4012,299.541,19.1761,4.00772,7.97969,133.372,124.655,-0.727165,130.603,130.457,-283.436,-275.207,0.686463,-280.822,-280.685
-0.2,-0.942259,2.98474,0.0335641,2.46569,302.519,19.0361,3.15216,8.79026,131.017,121.537,-0.79376,128.674,128.515,-284.885,-277.621,0.608231,-283.089,-282.967
-0.194601,-0.345703,2.98402,0.0361088,2.60579,305.504,18.8687,2.534,9.42772,128.974,118.776,-0.852489,126.979,126.813,-286.768,-280.515,0.522745,-285.545,-285.443
-0.194596,-0.137088,2.97829,0.0370912,2.67893,308.488,18.8321,2.14693,9.8906,127.321,116.446,-0.903414,125.557,125.382,-289.004,-283.842,0.42877,-288.167,-288.083
-0.2,0,2.97298,0.038125,2.82988,311.466,18.8175,1.93318,10.0522,126.076,114.742,-0.945669,124.437,124.248,-291.488,-287.591,0.325132,-290.924,-290.859
-0.2,0.148856,2.97559,0.0377046,2.90569,314.439,18.8175,2.04064,9.80332,125.435,113.861,-0.977194,123.636,123.441,-294.177,-291.662,0.21235,-293.786,-293.743
-0.18508,0.0598876,2.98244,0.0378483,3.05676,317.415,18.8442,2.64921,9.20909,125.613,113.812,-0.995155,123.161,122.976,-296.964,-295.798,0.0983168,-296.722,-296.703
-0.170943,0.19191,2.98552,0.0374512,3.132,320.397,18.8506,3.63672,8.36077,126.483,114.486,-0.999938,123.017,122.847,-299.66,-299.794,-0.0111798,-299.699,-299.701
-0.16809,0.362033,2.9808,0.036769,-3.00274,323.383,18.9027,4.74207,7.33026,127.749,115.76,-0.993138,123.207,123.04,-302.142,-303.554,-0.116948,-302.677,-302.697
-0.180422,0.446443,2.96622,0.0363854,-2.92967,326.364,18.9409,5.77405,6.26133,129.178,117.436,-0.975636,123.721,123.545,-304.384,-307.025,-0.219397,-305.612,-305.651
-0.2,1.93173,2.95002,0.0316871,-2.7925,329.33,19.107,6.65726,5.319,130.658,119.311,-0.947446,124.54,124.35,-306.396,-310.227,-0.319917,-308.461,-308.525
-0.2,2.96705,2.95692,0.0282534,-2.73251,332.28,19.3081,7.36408,4.55519,132.155,121.285,-0.911936,125.622,125.439,-308.265,-313.156,-0.410332,-311.205,-311.287
-0.180348,4.9,2.97901,0.0202726,-2.63525,335.237,20.0297,7.88104,3.9927,133.681,123.265,-0.877227,126.926,126.768,-310.161,-315.861,-0.480075,-313.858,-313.944
-0.150709,4.9,3.00261,0.0161075,-2.59888,338.216,20.5131,8.19914,3.63359,135.236,125.199,-0.848264,128.409,128.281,-312.179,-318.445,-0.529574,-316.441,-316.521
-0.116917,4.9,3.01898,0.0070595,-2.55229,341.218,21.4471,8.39354,3.37604,136.874,127.13,-0.82787,130.022,129.925,-314.331,-320.932,-0.560921,-318.973,-319.039
-0.078205,4.9,3.02341,0.0022201,-2.54303,344.237,21.8991,8.50597,3.21312,138.601,129.019,-0.817633,131.71,131.646,-316.624,-323.371,-0.575739,-321.476,-321.521
-0.0285102,-8.6177,3.01491,-0.0068316,-2.55249,347.261,21.7304,8.60003,3.12767,140.429,130.828,-0.818669,133.412,133.388,-319.053,-325.788,-0.574266,-323.975,-323.991
0.0330251,-7.3357,2.99524,-0.0111533,-2.57044,350.276,20.9224,8.7042,3.04953,142.333,132.56,-0.831444,135.068,135.096,-321.64,-328.17,-0.555608,-326.494,-326.476
0.100666,-5.1962,2.97056,-0.019004,-2.63088,353.271,19.585,8.83743,2.91731,144.267,134.216,-0.855095,136.625,136.711,-324.419,-330.513,-0.518471,-329.053,-329.001
0.161735,-4.38659,2.95257,-0.0228886,-2.67272,356.241,19.0471,9.03127,2.68168,146.188,135.796,-0.887284,138.031,138.175,-327.429,-332.831,-0.461224,-331.669,-331.594
0.2,-2.50508,2.95906,-0.0299848,-2.77812,359.194,18.1919,9.2053,2.38503,147.942,137.226,-0.924528,139.246,139.431,-330.774,-335.192,-0.381114,-334.359,-334.283
0.2,-1.84541,2.97803,-0.0342597,-2.84242,362.153,17.9145,9.47482,2.13311,149.512,138.377,-0.959283,140.231,140.423,-334.416,-337.694,-0.282448,-337.148,-337.092
0.182777,-1.12565,2.98431,-0.0394764,-2.99108,365.131,17.5562,9.76468,1.97084,150.724,139.171,-0.984444,140.931,141.111,-338.294,-340.355,-0.175699,-340.041,-340.009
0.176826,-0.865287,2.9793,-0.040743,-3.0712,368.115,17.4275,9.92453,1.90205,151.376,139.573,-0.998019,141.295,141.471,-342.366,-343.11,-0.0629064,-343.002,-342.99
0.185329,-0.597901,2.9704,-0.0432228,3.04362,371.095,17.2549,9.92008,1.87095,151.385,139.613,-0.998338,141.296,141.481,-346.561,-345.882,0.0576294,-345.979,-345.99
0.2,-0.575677,2.96982,-0.0436853,2.95677,374.065,17.1855,9.96419,1.86619,150.906,139.284,-0.982388,140.921,141.118,-350.823,-348.612,0.186854,-348.923,-348.961
0.2,-0.432887,2.97935,-0.0440079,2.78203,377.035,17.0367,10.0857,1.86338,149.917,138.592,-0.947767,140.169,140.358,-355.075,-351.264,0.318964,-351.794,-351.858
0.183442,-0.382647,2.98469,-0.0452905,2.6928,380.014,16.9858,10.1764,1.85417,148.334,137.548,-0.896509,139.046,139.21,-359.141,-353.811,0.443024,-354.552,-354.633
0.173046,0,2.97985,-0.0463418,2.50968,382.999,16.9116,10.1125,1.86273,146.105,136.157,-0.830703,137.561,137.705,-362.864,-356.197,0.556715,-357.138,-357.234
0.179749,0,2.96528,-0.0472022,2.41632,385.979,16.9116,9.95741,1.89144,143.34,134.455,-0.749874,135.738,135.873,-366.199,-358.36,0.66158,-359.493,-359.611
0.2,0.89633,2.94804,-0.0439128,2.23159,388.944,16.9415,9.83919,1.93313,140.167,132.487,-0.652414,133.618,133.748,-369.17,-360.248,0.757862,-361.562,-361.713
0.2,2.12315,2.95253,-0.0391494,2.14859,391.892,17.047,9.78753,1.97638,136.627,130.299,-0.537984,131.254,131.362,-371.74,-361.823,0.842955,-363.321,-363.489
0.133663,2.03294,2.98671,-0.0383397,2.07109,394.845,17.2943,9.78929,1.99926,132.86,127.912,-0.419681,128.695,128.751,-373.797,-363.097,0.907672,-364.79,-364.912
0.026283,2.16013,3.02454,-0.0359192,1.92274,397.831,17.7681,9.82869,2.02568,129.025,125.334,-0.311361,125.957,125.965,-375.343,-364.078,0.950292,-365.978,-366.003
-0.0835314,2.25752,3.04751,-0.0346623,1.85237,400.856,18.0095,9.77073,2.13307,125.149,122.594,-0.214619,123.07,123.052,-376.337,-364.711,0.976698,-366.876,-366.794
-0.163571,2.76546,3.04456,-0.0312692,1.72003,403.903,18.5282,9.47313,2.40329,121.291,119.75,-0.129755,120.083,120.062,-376.707,-364.931,0.991546,-367.476,-367.314
-0.2,3.97075,3.01508,-0.0258964,1.60579,406.948,19.1827,8.91303,2.88426,117.541,116.885,-0.0556382,117.056,117.045,-376.492,-364.713,0.998451,-367.792,-367.592
-0.199412,4.7306,2.98846,-0.0228456,1.5571,409.963,19.5922,8.2256,3.55138,113.953,114.084,0.0111338,114.043,114.045,-375.883,-364.107,0.999938,-367.858,-367.658
-0.184427,4.9,2.97431,-0.0186026,1.47458,412.952,20.5516,7.4919,4.32019,110.527,111.385,0.0726179,111.058,111.071,-375.004,-363.223,0.99736,-367.716,-367.532
-0.17081,4.9,2.97016,-0.016867,1.43912,415.926,21.023,6.70196,5.09919,107.264,108.776,0.128146,108.101,108.122,-373.88,-362.176,0.991755,-367.402,-367.233
-0.164389,4.9,2.97324,-0.0154615,1.40679,418.896,21.484,5.9292,5.83452,104.145,106.23,0.177193,105.167,105.196,-372.615,-361.037,0.984176,-366.941,-366.779
-0.165404,4.9,2.98076,-0.0128411,1.35032,421.869,22.3775,5.25801,6.48299,101.135,103.713,0.219572,102.253,102.289,-371.319,-359.864,0.975596,-366.351,-366.189
-0.171489,4.9,2.99026,-0.0116077,1.32589,424.85,22.8111,4.69248,7.02983,98.2023,101.195,0.255305,99.3566,99.4003,-370.018,-358.684,0.966861,-365.647,-365.481
-0.179674,4.9,2.99971,-0.0090835,1.28448,427.84,23.6546,4.21317,7.48796,95.3279,98.6575,0.284553,96.4757,96.5268,-368.713,-357.495,0.95866,-364.846,-364.674
-0.187667,4.89674,3.00758,-0.0077534,1.26766,430.84,24.0652,3.83612,7.86504,92.4867,96.0849,0.30751,93.6086,93.6663,-367.436,-356.302,0.951545,-363.964,-363.786
-0.194507,4.8568,3.01264,-0.0049213,1.24224,433.848,24.864,3.53615,8.18493,89.6692,93.4725,0.324488,90.7535,90.8166,-366.18,-355.093,0.94589,-363.019,-362.835
-0.2,4.83742,3.01458,-0.0039116,1.23342,436.86,25.2516,3.27244,8.46859,86.878,90.8154,0.335357,87.9083,87.9754,-364.923,-353.862,0.942091,-362.028,-361.84
-0.2,4.79975,3.01504,-0.002614,1.22071,439.875,26.0049,3.02149,8.71327,84.1074,88.1197,0.341917,85.0721,85.1405,-363.659,-352.631,0.93973,-361.007,-360.819
-0.194899,4.78143,3.01495,-0.0024675,1.21563,442.89,26.3714,2.77747,8.93483,81.3446,85.4227,0.34819,82.2438,82.3117,-362.383,-351.404,0.937424,-359.962,-359.78
-0.18934,4.74573,3.01405,-0.0028239,1.20537,445.905,27.0854,2.56061,9.14571,78.5803,82.7436,0.355645,79.4236,79.491,-361.113,-350.172,0.934621,-358.896,-358.719
-0.18366,4.7112,3.01251,-0.0032865,1.19316,448.919,27.7761,2.37145,9.3466,75.8171,80.0823,0.363984,76.6134,76.6803,-359.844,-348.93,0.931405,-357.807,-357.636
-0.177727,4.69434,3.0104,-0.0035252,1.18635,451.931,28.1132,2.2023,9.51783,73.0594,77.4343,0.37328,73.8152,73.8815,-358.569,-347.696,0.927719,-356.691,-356.526
-0.171509,4.6614,3.00782,-0.0039821,1.17134,454.942,28.772,2.03797,9.65225,70.3151,74.7984,0.38351,71.0309,71.0967,-357.27,-346.474,0.923537,-355.546,-355.388
-0.165082,4.64529,3.00488,-0.0042081,1.16315,457.95,29.0942,1.89866,9.74831,67.5783,72.1751,0.394672,68.2625,68.3277,-355.963,-345.262,0.918822,-354.37,-354.219
-0.158627,4.61376,3.0017,-0.0046474,1.14544,460.954,29.7248,1.81387,9.79185,64.8387,69.5594,0.406757,65.5119,65.5765,-354.673,-344.07,0.913536,-353.161,-353.016
-0.152426,4.59832,2.99842,-0.0048646,1.13593,463.956,30.0335,1.79728,9.77076,62.0906,66.9463,0.419753,62.781,62.845,-353.408,-342.908,0.907639,-351.915,-351.776
-0.146847,4.56807,2.99519,-0.005292,1.11562,466.955,30.6387,1.80432,9.69526,59.3529,64.3396,0.433645,60.0716,60.1353,-352.124,-341.762,0.901084,-350.63,-350.498
-0.142325,3.92827,2.99217,-0.0055049,1.10483,469.95,30.9354,1.84639,9.58372,56.6212,61.7467,0.448415,57.3854,57.4492,-350.829,-340.612,0.893825,-349.306,-349.178
-0.139335,-7.90652,2.98955,-0.0059337,1.08196,472.942,30.6765,1.96898,9.43775,53.875,59.1682,0.464039,54.724,54.7887,-349.559,-339.455,0.885814,-347.938,-347.815
-0.138349,-7.9046,2.98751,-0.0061505,1.06988,475.932,30.1568,2.1698,9.25845,51.1132,56.6043,0.480488,52.0893,52.1558,-348.307,-338.285,0.877001,-346.526,-346.404
-0.139796,-7.91209,2.98626,-0.0066029,1.04438,478.919,29.0897,2.4315,9.03207,48.3421,54.0478,0.497725,49.4827,49.5523,-347.053,-337.111,0.867335,-345.066,-344.945
-0.144,-7.93102,2.98602,-0.006836,1.03095,481.905,28.5406,2.74111,8.74196,45.5667,51.4886,0.515708,46.9061,46.9803,-345.782,-335.943,0.856764,-343.556,-343.433
-0.151117,-7.98345,2.98698,-0.0073435,1.00261,484.891,27.4052,3.10497,8.39418,42.7825,48.9275,0.534387,44.361,44.4417,-344.492,-334.772,0.84524,-341.995,-341.867
-0.161052,-8.02541,2.98939,-0.0076109,0.987659,487.878,26.8164,3.52316,7.98553,39.9877,46.3601,0.553701,41.8493,41.9385,-343.178,-333.594,0.832716,-340.378,-340.244
-0.173367,-8.06969,2.99343,-0.0079018,0.972151,490.868,26.2112,4.02916,7.5017,37.1615,43.7755,0.573589,39.3731,39.4726,-341.862,-332.417,0.819143,-338.704,-338.562
-0.187177,-7.99377,2.99933,-0.008557,0.939283,493.861,24.9457,4.62478,6.95998,34.299,41.1798,0.593952,36.9347,37.0459,-340.538,-331.218,0.8045,-336.967,-336.817
-0.2,-7.17409,3.00705,-0.0093275,0.921407,496.86,24.2965,5.29385,6.37297,31.4058,38.5784,0.614788,34.5374,34.6604,-339.183,-329.981,0.788693,-335.165,-335.007
-0.2,-5.24007,3.01595,-0.0142566,0.875841,499.867,23.202,6.01892,5.75296,28.4918,35.9752,0.635701,32.1909,32.318,-337.777,-328.69,0.771936,-333.285,-333.131
-0.159747,-4.79838,3.01628,-0.0159649,0.845651,502.883,22.746,6.69844,5.13958,25.6022,33.4168,0.660123,29.9186,30.024,-336.214,-327.322,0.751158,-331.302,-331.182
-0.0809867,-4.25021,3.00519,-0.0188101,0.775842,505.9,21.9165,7.23261,4.57626,22.798,30.973,0.692275,27.7489,27.805,-334.368,-325.847,0.721634,-329.207,-329.149
0.0168847,-3.79146,2.988,-0.0211992,0.695904,508.905,21.1487,7.62751,4.16691,20.1137,28.7459,0.731888,25.7086,25.6962,-332.211,-324.174,0.681425,-327.002,-327.013
0.110704,-3.55184,2.97352,-0.022468,0.652298,511.893,20.7872,7.88429,3.91466,17.6043,26.776,0.777331,23.819,23.733,-329.717,-322.295,0.629091,-324.688,-324.757
0.177249,-2.90799,2.97408,-0.023805,0.605987,514.866,20.4426,8.10542,3.71748,15.2488,25.0244,0.826835,22.0972,21.9507,-326.923,-320.273,0.562445,-322.264,-322.364
0.2,-1.31482,2.98634,-0.0292096,0.501326,517.841,19.9719,8.36036,3.47109,13.0649,23.423,0.875465,20.5592,20.3841,-323.856,-318.139,0.483281,-319.719,-319.816
0.197427,-1.03961,2.99438,-0.0309567,0.44125,520.827,19.8399,8.65682,3.20034,11.1186,21.9943,0.917227,19.2399,19.0588,-320.569,-315.845,0.398364,-317.041,-317.12
0.194149,-1.00314,2.99586,-0.0324184,0.313498,523.821,19.6328,9.10022,2.93547,9.33873,20.7815,0.950737,18.1752,17.9906,-317.125,-313.394,0.309998,-314.244,-314.304
0.19563,-0.992834,2.9924,-0.0327628,0.248366,526.817,19.5303,9.19386,2.64383,8.22038,19.7758,0.976157,17.386,17.195,-313.393,-310.824,0.217067,-311.355,-311.398
0.199697,-0.936561,2.98712,-0.0335206,0.115815,529.809,19.3275,9.44953,2.29111,7.30508,18.9622,0.992891,16.8857,16.6874,-309.555,-308.157,0.119031,-308.406,-308.43
0.2,-0.815115,2.98321,-0.0339731,0.0483387,532.797,19.2303,9.80979,1.99161,6.67476,18.4747,0.999874,16.6833,16.4833,-305.586,-305.399,0.0159005,-305.427,-305.43
0.193742,-0.501282,2.97765,-0.0354716,-0.0902148,535.78,19.0847,10.1184,1.83208,6.51452,18.4179,0.996055,16.786,16.593,-301.532,-302.592,-0.0887351,-302.447,-302.43
0.189747,-0.363602,2.96853,-0.0358862,-0.161534,538.757,19.0321,10.0601,1.87258,7.14199,18.852,0.98134,17.2005,17.0143,-297.529,-299.823,-0.192278,-299.5,-299.463
0.192055,0,2.95695,-0.0370258,-0.30724,541.726,18.9763,9.80974,2.09271,8.37055,19.7424,0.955417,17.9264,17.7429,-293.67,-297.184,-0.295261,-296.623,-296.566
0.2,0,2.94557,-0.0374897,-0.381729,544.683,18.9763,9.44035,2.45686,10.1116,21.0292,0.917659,18.9581,18.7746,-290.023,-294.75,-0.397369,-293.853,-293.774
0.2,1.86544,2.94693,-0.0320702,-0.523409,547.629,19.0469,9.02326,2.96429,12.2862,22.6737,0.866529,20.2784,20.1051,-286.618,-292.601,-0.499128,-291.222,-291.122
0.14962,2.89204,2.97512,-0.0286513,-0.58417,550.575,19.2417,8.44321,3.59377,14.9003,24.6291,0.808238,21.8454,21.7245,-283.667,-290.755,-0.588856,-288.727,-288.639
0.0567872,4.78509,3.00909,-0.0219374,-0.685213,553.551,19.9315,7.67647,4.47357,17.7731,26.9699,0.756932,23.6267,23.5837,-281.291,-289.231,-0.653493,-286.345,-286.308
-0.0440382,4.9,3.03004,-0.0179895,-0.725052,556.56,20.4059,6.74802,5.53041,20.7657,29.5932,0.718944,25.5854,25.6171,-279.402,-287.936,-0.695067,-284.061,-284.092
-0.127863,4.9,3.02926,-0.009225,-0.779849,559.59,21.3446,5.73348,6.52765,23.7659,32.3054,0.696474,27.6701,27.7591,-277.84,-286.638,-0.717582,-281.863,-281.954
-0.181248,4.9,3.00714,-0.0046116,-0.793684,562.619,21.7988,4.80038,7.34737,26.6273,35.0206,0.690937,29.8188,29.944,-276.388,-285.17,-0.722915,-279.727,-279.858
-0.199751,-7.92423,2.97915,0.0063127,-0.790955,565.626,22.5307,3.96011,8.00659,29.334,37.7191,0.700704,31.9689,32.1088,-274.942,-283.48,-0.713452,-277.625,-277.767
-0.2,-6.05616,2.95407,0.0117152,-0.772949,568.605,21.8161,3.2671,8.48035,31.8471,40.3385,0.722831,34.0641,34.2086,-273.388,-281.506,-0.691025,-275.507,-275.645
-0.198668,-2.97185,2.93805,0.0208114,-0.707223,571.559,20.8289,2.77681,8.8889,34.1071,42.9268,0.756043,36.0563,36.2065,-271.639,-279.274,-0.654522,-273.326,-273.456
-0.2,-2.15829,2.93999,0.0249507,-0.661451,574.497,20.5416,2.49538,9.15398,36.0735,45.3718,0.798178,37.9057,38.0653,-269.661,-276.679,-0.602421,-271.044,-271.165
-0.2,-1.56001,2.97274,0.0287738,-0.552382,577.437,20.151,2.33714,9.31644,37.7702,47.6327,0.846301,39.5789,39.7482,-267.489,-273.697,-0.532705,-268.628,-268.734
-0.178124,-0.998243,3.01981,0.029863,-0.493729,580.41,19.9956,2.18042,9.41301,39.2704,49.6283,0.89343,41.0593,41.2184,-265.151,-270.359,-0.449202,-266.051,-266.131
-0.139672,-0.0288576,3.04692,0.0335389,-0.367029,583.43,19.8695,2.04332,9.51294,40.5444,51.3162,0.932115,42.3188,42.449,-262.618,-266.803,-0.362164,-263.308,-263.358
-0.120746,0,3.04887,0.0341316,-0.299474,586.477,19.8666,1.94846,9.66934,41.5492,52.7215,0.961656,43.3068,43.4229,-259.925,-263.112,-0.27426,-260.427,-260.46
-0.135327,0.0654973,3.02647,0.0340387,-0.162391,589.526,19.8666,1.9248,9.79024,42.2314,53.7487,0.983116,43.9907,44.1237,-257.13,-259.273,-0.182982,-257.457,-257.482
-0.172588,0.613239,2.985,0.0326293,-0.0957742,592.552,19.8732,1.94102,9.80853,42.6011,54.3071,0.996295,44.363,44.5349,-254.303,-255.313,-0.0860015,-254.455,-254.47
-0.2,0.99216,2.94887,0.0312012,0.0312908,595.537,20.0219,1.97666,9.77667,42.6642,54.416,0.999867,44.4406,44.6406,-251.501,-251.309,0.0163138,-251.472,-251.469
-0.2,0.720114,2.93407,0.0315674,0.094125,598.486,20.1207,2.03313,9.74421,42.4222,54.1186,0.993128,44.2427,44.4413,-248.745,-247.367,0.117034,-248.531,-248.507
-0.180684,1.52242,2.93534,0.0290825,0.216118,601.42,20.294,2.1036,9.7368,41.899,53.4718,0.9774,43.7784,43.955,-246.041,-243.538,0.211398,-245.635,-245.596
-0.14145,1.84759,2.94794,0.0278808,0.273082,604.355,20.4435,2.15711,9.71649,41.1421,52.4731,0.954305,43.0656,43.2006,-243.39,-239.842,0.298834,-242.788,-242.746
-0.0837446,2.06916,2.96684,0.0263791,0.381214,607.303,20.8166,2.25016,9.58653,40.1143,51.0695,0.925529,42.1194,42.1969,-240.817,-236.335,0.378678,-239.997,-239.965
-0.0149306,2.05278,2.98736,0.0259219,0.433503,610.27,21.0144,2.42924,9.31983,38.7948,49.2809,0.892508,40.9496,40.9629,-238.36,-233.061,0.451032,-237.271,-237.264
0.0547411,2.01997,3.00565,0.0250678,0.535462,613.258,21.4,2.74297,8.94535,37.1682,47.1782,0.856406,39.5642,39.5173,-236.07,-230.035,0.516303,-234.625,-234.654
0.115413,2.02952,3.01881,0.0246128,0.585118,616.263,21.5879,3.22483,8.48034,35.241,44.8166,0.818066,37.9736,37.8792,-233.997,-227.265,0.575124,-232.076,-232.142
0.159974,2.21897,3.02476,0.0233752,0.681225,619.282,21.9683,3.84321,7.90778,33.077,42.2198,0.778037,36.1917,36.0672,-232.155,-224.773,0.628219,-229.64,-229.74
0.185719,2.39765,3.0221,0.0225896,0.727155,622.307,22.1694,4.54404,7.22315,30.7532,39.421,0.736609,34.2372,34.1004,-230.531,-222.573,0.676318,-227.332,-227.458
0.195363,2.90397,3.01341,0.0207066,0.813724,625.329,22.6213,5.2433,6.47583,28.3594,36.4908,0.693859,32.1331,31.9975,-229.08,-220.641,0.720111,-225.164,-225.304
0.196006,3.12405,3.00755,0.0198266,0.854252,628.342,22.8765,5.8811,5.74575,25.9526,33.5097,0.649965,29.9025,29.7751,-227.757,-218.921,0.759964,-223.138,-223.287
0.19387,3.36881,3.00534,0.0184576,0.93064,631.35,23.4284,6.46712,5.08934,23.5278,30.5244,0.605423,27.5606,27.4432,-226.553,-217.356,0.795904,-221.252,-221.406
0.192347,3.4179,3.00587,0.0179281,0.967018,634.355,23.7142,7.0258,4.52462,21.0718,27.5472,0.560613,25.1184,25.0106,-225.478,-215.913,0.828078,-219.501,-219.66
0.192569,3.44039,3.00814,0.0170568,1.0369,637.361,24.2852,7.54859,4.04347,18.5923,24.5721,0.515858,22.5856,22.4863,-224.515,-214.584,0.856674,-217.883,-218.048
0.194315,3.42776,3.01123,0.0166889,1.07063,640.369,24.5668,8.00185,3.63202,16.107,21.5912,0.471403,19.9707,19.8791,-223.625,-213.365,0.881918,-216.397,-216.568
0.196697,3.40114,3.01426,0.0160073,1.13599,643.38,25.1175,8.38148,3.2776,13.6155,18.5988,0.427422,17.282,17.1979,-222.796,-212.256,0.904052,-215.041,-215.219
0.198737,3.39727,3.01645,0.0156755,1.16767,646.395,25.3868,8.69603,2.96639,11.1122,15.5909,0.384027,14.528,14.4517,-222.029,-211.261,0.923322,-213.817,-214
0.199809,3.43275,3.01714,0.0149875,1.229,649.411,25.9174,8.92317,2.70104,8.60404,12.5712,0.341282,11.7175,11.6494,-221.297,-210.371,0.939961,-212.722,-212.91
0.2,3.48933,3.01575,0.0146047,1.25858,652.428,26.1809,9.10882,2.47187,6.07461,9.53925,0.299173,8.85957,8.79973,-220.638,-209.588,0.954199,-211.756,-211.947
0.2,-3.51546,3.01193,0.014225,1.316,655.444,26.4877,9.2641,2.30272,3.52387,6.50528,0.257755,5.96329,5.91174,-220.06,-208.884,0.96621,-210.916,-211.109
0.198818,-3.58297,3.00664,0.0144122,1.34462,658.456,26.2209,9.41966,2.17505,0.954101,3.46529,0.21658,3.03727,2.99421,-219.593,-208.273,0.976265,-210.203,-210.397
0.194893,-3.87282,3.00128,0.0146106,1.40269,661.463,25.6584,9.56404,2.09278,-1.61454,0.419383,0.174483,0.0882332,0.0542277,-219.228,-207.75,0.98466,-209.618,-209.81
0.189925,-4.00426,2.99626,0.0147575,1.43205,664.464,25.3548,9.67803,2.03182,-4.17047,-2.6371,0.130946,-2.87829,-2.90316,-218.948,-207.339,0.99139,-209.165,-209.353
0.18557,-4.2836,2.99209,0.0150875,1.4917,667.46,24.7041,9.75493,1.99443,-6.71239,-5.7014,0.0860467,-5.85704,-5.87301,-218.747,-207.041,0.996291,-208.843,-209.028
0.183262,-4.41862,2.98929,0.0152963,1.52208,670.452,24.3549,9.79112,1.97934,-9.23979,-8.77163,0.039774,-8.84307,-8.85036,-218.624,-206.863,0.999209,-208.657,-208.84
0.183963,-4.669,2.98841,0.0158324,1.58426,673.442,23.6076,9.80436,1.97785,-11.7536,-11.8457,-0.0078219,-11.8317,-11.8303,-218.596,-206.815,0.999969,-208.608,-208.792
0.187872,-4.77817,2.98997,0.0161808,1.61627,676.43,23.2088,9.79035,1.99118,-14.253,-14.9206,-0.0566652,-14.8184,-14.8078,-218.663,-206.9,0.998393,-208.701,-208.888
0.194059,-4.95063,2.99445,0.0170884,1.68268,679.42,22.3624,9.74648,2.02807,-16.7386,-17.9942,-0.106632,-17.7986,-17.7779,-218.822,-207.115,0.994298,-208.938,-209.131
0.2,-4.87658,3.00223,0.017683,1.71745,682.414,21.9152,9.67065,2.10384,-19.2119,-21.0673,-0.15758,-20.7673,-20.7357,-219.075,-207.448,0.987506,-209.328,-209.525
0.2,-3.83176,3.01356,0.0201752,1.79237,685.417,21.0354,9.52723,2.24919,-21.683,-24.1469,-0.209227,-23.7182,-23.6763,-219.39,-207.874,0.977867,-209.878,-210.074
