 alpha_m, ax_racetraj_mps2, kappa_racetraj_radpm, psi_racetraj_rad, s_racetraj_m, vx_racetraj_mps, width_left_m, width_right_m, x_normvec_m, y_normvec_m, y_ref_m,delta_s,x_bound_l,x_bound_r,x_raceline,x_ref_m,y_bound_l,y_bound_r,y_raceline
0.199332,2.61757,0.0003999,2.51151,95.9639,49.2162,2.27061,7.97765,-0.807992,0.589193,64.8048,2.99843,49.3751,41.0945,47.3794,47.5404,63.4669,69.5051,64.9222
0.199349,2.58585,0.0004933,2.5133,98.9623,49.4277,2.34942,7.83191,-0.808765,0.588132,62.3811,2.99836,47.6756,39.4413,45.6142,45.7755,60.9994,66.9873,62.4984
0.199384,2.57018,0.00054,2.51433,101.961,49.5321,2.44499,7.77527,-0.80966,0.586899,59.9551,2.99828,45.9936,37.7187,43.8526,44.014,58.5201,64.5184,60.0721
0.199436,2.53923,0.0006332,2.51668,104.959,49.7385,2.558,7.76485,-0.810675,0.585496,57.5263,2.99821,44.3303,35.9618,42.0949,42.2566,56.0286,62.0726,57.6431
0.199502,2.52394,0.0006799,2.51799,107.957,49.8404,2.68423,7.79773,-0.81181,0.583921,55.0944,2.99814,42.6828,34.1734,40.3418,40.5037,53.527,59.6476,55.2109
0.199582,2.49374,0.0007731,2.52089,110.955,50.0418,2.82595,7.83827,-0.813064,0.582174,52.6589,2.99809,41.0535,32.3828,38.5936,38.7559,51.0137,57.2222,52.7751
0.199674,2.47881,0.0008197,2.52248,113.953,50.1413,2.97728,7.86393,-0.814435,0.580254,50.2197,2.99804,39.4384,30.6089,36.8509,37.0136,48.4921,54.7827,50.3355
0.199777,2.44932,0.0009129,2.52595,116.951,50.3379,3.13112,7.86452,-0.815923,0.57816,47.7762,2.99802,37.8321,28.8605,35.1143,35.2773,45.9659,52.3231,47.8917
0.19989,2.43475,0.0009596,2.52782,119.949,50.435,3.28286,7.82799,-0.817527,0.575891,45.3281,2.99802,36.2315,27.1481,33.3842,33.5477,43.4375,49.8362,45.4432
0.2,2.40595,0.0010735,2.53186,122.947,50.627,3.44242,7.73625,-0.819243,0.573446,42.8751,2.99805,34.6453,25.4872,31.6612,31.8251,40.901,47.3114,42.9898
0.2,2.39172,0.0011487,2.53408,125.946,50.7219,3.61337,7.60263,-0.821072,0.570825,40.4168,2.99811,33.077,23.8678,29.9459,30.1101,38.3542,44.7565,40.5309
0.199497,2.36358,0.0013529,2.53908,128.944,50.9095,3.79175,7.43716,-0.823011,0.568025,37.9528,2.99821,31.5239,22.2824,28.2391,28.4033,35.799,42.1773,38.0661
0.197801,2.34968,0.0014595,2.54189,131.942,51.0022,3.97738,7.25348,-0.825059,0.565047,35.4828,2.99835,29.9866,20.7205,26.5418,26.705,33.2354,39.5813,35.5945
