x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
-1.7276570; -16.0844759; 0.7907355; 1.2823295; -0.7828566; -0.6222021; -0.0592645; 37.3883726; -2.5192104; 0.0611202; 5.8239573; -3.2759685
-1.0012517; -16.9002986; 0.8388597; 1.2361403; -0.7035581; -0.7106377; -0.0111403; 38.4781367; -2.4081124; 0.1013141; 5.0018554; -2.6794588
-0.2204781; -17.5579631; 0.9893516; 1.1048977; -0.5683071; -0.8228165; 0.0673529; 39.5083265; -2.3196831; 0.1515908; 4.6116599; -2.4538935
0.6003257; -17.9958849; 1.2203287; 0.8701137; -0.3536880; -0.9353635; 0.1688511; 40.4753356; -2.0040322; 0.3049484; 3.8464825; -1.6993654
1.4499842; -18.1933799; 1.3127055; 0.6475705; -0.0954810; -0.9954313; 0.2560624; 41.4116921; -1.7722521; 0.3564097; 3.5236877; -0.6037622
2.3201485; -18.1663264; 1.4210678; 0.5766095; 0.1514175; -0.9884699; 0.2733905; 42.3525571; -1.2585331; 0.3309152; 3.2789281; -0.2239165
3.2025634; -17.9321578; 1.3807367; 0.6685505; 0.3456742; -0.9383546; 0.1835467; 43.3197409; -1.0599102; 0.2295975; 3.2307730; 4.4382077
4.0881755; -17.5418418; 1.2368168; 0.8381832; 0.4388759; -0.8985477; 0.0245507; 44.3133804; -0.9588363; 0.0631779; 4.0805921; 1.2545228
4.9663666; -17.1121225; 0.9590938; 1.1159062; 0.4259610; -0.9047415; -0.1390228; 45.3067413; -0.9689775; -0.0839548; 4.0410389; -3.7661372
5.8263362; -16.7673920; 0.6205239; 1.4629665; 0.2887495; -0.9574047; -0.3069425; 46.2840209; -1.0984239; -0.2895969; 3.3252869; -1.1229416
6.6575332; -16.6293475; 0.4373041; 1.4272776; 0.0129746; -0.9999158; -0.4126959; 47.2393713; -1.3463199; -0.4140561; 3.0798463; -0.1081059
7.4566298; -16.7414680; 0.4458043; 1.5412714; -0.2734257; -0.9618931; -0.4180111; 48.1721275; -1.9330323; -0.3488854; 3.1473954; -0.2053969
8.2284678; -17.0587754; 0.7517298; 1.3232702; -0.4683429; -0.8835468; -0.3431164; 49.0934420; -2.1548990; -0.2825066; 3.1013786; -0.0698816
8.9783252; -17.5315707; 1.0137405; 1.0612595; -0.5857887; -0.8104638; -0.2022119; 50.0303220; -2.3142317; -0.1700267; 3.0855660; 2.6811286
9.7107681; -18.1181931; 1.1720551; 0.9029449; -0.6590957; -0.7520591; -0.0529449; 50.9928370; -2.4252746; -0.0121880; 4.6707856; 5.7164156
10.4287174; -18.7955548; 1.2539763; 0.8186035; -0.7092876; -0.7049192; 0.0486513; 51.9854774; -2.4328219; -0.0094486; 5.4606797; 5.5538839
11.1348626; -19.5431834; 1.2713073; 0.7840639; -0.7419618; -0.6704421; 0.1020381; 53.0117696; -2.4360105; 0.0045805; 6.7336080; 5.3308179
11.8318933; -20.3406064; 1.2632943; 0.8092011; -0.7618616; -0.6477398; 0.1134574; 54.0677159; -2.4319854; 0.0068931; 7.2666663; 5.2300719
12.5224988; -21.1673511; 1.2227030; 0.8522970; -0.7714732; -0.6362618; 0.0927115; 55.1435897; -2.4201630; 0.0096665; 8.2181673; 5.2154073
13.2093687; -22.0029451; 1.1151200; 0.9556246; -0.7721108; -0.6354879; 0.0523955; 56.2258972; -2.4131614; 0.0103710; 8.6509921; 5.2443782
13.8951925; -22.8269159; 1.0739013; 1.0010987; -0.7633335; -0.6460046; 0.0059800; 57.2992934; -2.3951262; 0.0149427; 9.4683336; 5.3412676
14.5821017; -23.6218504; 0.9973895; 1.0776105; -0.7501145; -0.6613079; -0.0349122; 58.3504119; -2.3869559; 0.0082508; 9.8552997; 5.4114018
15.2690445; -24.3877986; 0.9413609; 1.1336391; -0.7393322; -0.6733409; -0.0624903; 59.3788739; -2.3840480; -0.0035641; 10.6017162; 5.5136375
15.9538408; -25.1309972; 0.9000996; 1.1749004; -0.7320466; -0.6812545; -0.0735573; 60.3887981; -2.3880059; -0.0077803; 10.9597121; 4.6202621
16.6343095; -25.8576899; 0.9217690; 1.1532310; -0.7284814; -0.6850656; -0.0675466; 61.3840012; -2.4049941; -0.0163536; 11.4686025; 1.7712934
17.3082694; -26.5741205; 0.8920697; 1.1829303; -0.7289344; -0.6845835; -0.0447196; 62.3679174; -2.4177267; -0.0200614; 11.5762081; -0.2713625
17.9735391; -27.2865328; 0.9133116; 1.1616884; -0.7335099; -0.6796788; -0.0066199; 63.3435706; -2.4324872; -0.0218892; 11.5597879; -0.8916658
18.6279376; -28.0011705; 0.9226395; 1.1473891; -0.7421695; -0.6702122; 0.0428934; 64.3135881; -2.4643481; -0.0231436; 11.4292372; -1.1181046
19.2692836; -28.7242775; 0.9764330; 1.0985670; -0.7547030; -0.6560666; 0.0984928; 65.2803887; -2.4805754; -0.0231985; 11.3605526; -1.5970297
19.8953958; -29.4620974; 1.0047408; 1.0671028; -0.7707249; -0.6371681; 0.1547408; 66.2465594; -2.5136543; -0.0234540; 11.1451830; -2.0452569
20.5040931; -30.2208742; 1.0737681; 1.0206083; -0.7896855; -0.6135119; 0.2064779; 67.2152198; -2.5294024; -0.0214966; 11.0159800; -2.7468677
21.0931943; -31.0068515; 1.0965923; 0.9939678; -0.8108638; -0.5852349; 0.2465922; 68.1902845; -2.5434037; -0.0185210; 10.8400320; -3.2621768
21.6605180; -31.8262731; 1.1290633; 0.9451493; -0.8335036; -0.5525141; 0.2670455; 69.1769302; -2.5662095; -0.0147251; 10.3769268; -4.5009472
22.2038831; -32.6853829; 1.1231331; 0.9462669; -0.8565155; -0.5161213; 0.2611975; 70.1821055; -2.5764625; -0.0145639; 10.0687357; -5.1393738
22.7211084; -33.5904246; 1.1191491; 0.9429904; -0.8797954; -0.4753525; 0.2258877; 71.2137168; -2.6026335; -0.0215598; 9.3004953; -5.9877819
23.2105349; -34.5466981; 1.0626388; 1.0067612; -0.8988300; -0.4382974; 0.1628883; 72.2816454; -2.6162000; -0.0173065; 8.8383553; -5.7313537
23.6811149; -35.5403262; 1.0172875; 1.0521125; -0.9063362; -0.4225574; 0.0794427; 73.3819062; -2.6215238; 0.0113671; 7.9100127; -4.7742669
24.1516880; -36.5395628; 1.0257070; 1.0436930; -0.9010886; -0.4336350; -0.0172852; 74.4908109; -2.6095407; 0.0229710; 7.4755930; -4.1999000
24.6414707; -37.5119804; 1.0158818; 1.0535182; -0.8823552; -0.4705841; -0.1171491; 75.5812174; -2.5599694; 0.0490699; 6.6905009; -2.9651131
25.1696799; -38.4251514; 1.0144262; 1.0587004; -0.8442871; -0.5358911; -0.2065284; 76.6276018; -2.5205246; 0.0635080; 6.3727346; -2.5952233
25.7555323; -39.2466482; 0.9574756; 1.1175244; -0.7765370; -0.6300716; -0.2675244; 77.6109950; -2.4097874; 0.0970849; 5.8142372; -2.0626814
26.4182444; -39.9440431; 0.8523101; 1.1694003; -0.6603032; -0.7509991; -0.2789020; 78.5276325; -2.3312733; 0.1268779; 5.5603661; -2.0589269
27.1760400; -40.4859333; 0.9215194; 1.1594816; -0.4946305; -0.8691034; -0.2255137; 79.4102301; -2.2333729; 0.1511990; 5.2948319; -1.9515883
28.0260755; -40.8626525; 1.0201378; 1.0157684; -0.3173552; -0.9483067; -0.1098247; 80.3151879; -2.0180688; 0.1543412; 4.8044593; -0.8399590
28.9453808; -41.0853010; 1.0919399; 0.9495549; -0.1563200; -0.9877065; 0.0453828; 81.2688862; -1.9077721; 0.1600573; 4.6804824; -0.3667501
29.9101812; -41.1658093; 1.1125572; 0.8926428; -0.0136803; -0.9999064; 0.2062933; 82.2687950; -1.6799214; 0.1652103; 4.5783918; -0.3016134
30.8967017; -41.1161079; 1.3164796; 0.8407413; 0.1113189; -0.9937847; 0.3380289; 83.3001277; -1.5627794; 0.1694729; 4.5320441; -0.3061144
31.8811677; -40.9481275; 1.2634144; 0.7529010; 0.2229421; -0.9748317; 0.4134142; 84.3453779; -1.4445418; 0.1697325; 4.4845149; -0.2581319
32.8398042; -40.6737984; 1.3699851; 0.6741923; 0.3262750; -0.9452749; 0.4171562; 85.3885144; -1.2043893; 0.1736782; 4.4112087; 0.1111591
33.7493560; -40.3049585; 1.4223686; 0.6470314; 0.4245688; -0.9053957; 0.3488072; 86.4141634; -1.0851804; 0.1663835; 4.4288126; 0.4631222
34.5997118; -39.8510960; 1.3853569; 0.6507757; 0.5151847; -0.8570792; 0.2249406; 87.4161435; -0.8756420; 0.1248683; 4.6399823; 2.0154050
35.3946026; -39.3192252; 1.2664720; 0.8085280; 0.5946915; -0.8039540; 0.0770734; 88.3987113; -0.7992164; 0.0927921; 4.9346665; 3.3396782
36.1384190; -38.7162424; 1.1640846; 0.9109154; 0.6623026; -0.7492364; -0.0609154; 89.3670827; -0.7064947; 0.0449976; 5.9363418; 5.4763515
36.8355516; -38.0490438; 0.9835554; 1.0997530; 0.7182213; -0.6958148; -0.1674458; 90.3292769; -0.6793175; 0.0325342; 6.5503326; 5.7054596
37.4903911; -37.3245257; 0.8092607; 1.2646273; 0.7634858; -0.6458246; -0.2359305; 91.2947944; -0.6585231; 0.0272397; 7.1340244; 5.7569362
38.1073279; -36.5495846; 0.7098915; 1.3595085; 0.7994896; -0.6006799; -0.2684268; 92.2713500; -0.6253347; 0.0212182; 8.1851422; 5.6067156
38.6907527; -35.7311166; 0.6344648; 1.4197511; 0.8276889; -0.5611872; -0.2700011; 93.2634295; -0.6109635; 0.0198648; 8.6513445; 5.5273468
39.2450561; -34.8760181; 0.6442616; 1.4012739; 0.8494159; -0.5277241; -0.2468153; 94.2724251; -0.5848455; 0.0174838; 9.5043186; 5.4792532
39.7746287; -33.9911853; 0.6573182; 1.3729592; 0.8657932; -0.5004020; -0.2051750; 95.2972581; -0.5730145; 0.0163142; 9.8996382; 5.3791026
40.2838610; -33.0835147; 0.6988218; 1.3133781; 0.8777132; -0.4791864; -0.1511782; 96.3350658; -0.5518480; 0.0139267; 10.6347523; 5.3851382
40.7771436; -32.1599024; 0.8602695; 1.2130818; 0.8858258; -0.4640180; -0.0907014; 97.3817920; -0.5425143; 0.0127483; 10.9834860; 5.3165036
41.2588672; -31.2272448; 0.8994411; 1.1175540; 0.8906162; -0.4547558; -0.0293892; 98.4326470; -0.5264126; 0.0098965; 11.6437379; 5.3611257
41.7334223; -30.2924382; 1.0342327; 1.0351673; 0.8921916; -0.4516571; 0.0276574; 99.4825275; -0.5203157; 0.0075346; 11.9616898; 5.3370172
42.2051326; -29.3622636; 1.0902360; 0.9831236; 0.8912757; -0.4534619; 0.0764813; 100.5264971; -0.5110283; 0.0065685; 12.5735000; 5.4136854
42.6763416; -28.4400894; 1.1517900; 0.9176100; 0.8897674; -0.4564143; 0.1146778; 101.5624786; -0.5059672; 0.0079068; 12.8713587; 5.3994769
43.1471308; -27.5253854; 1.1633028; 0.8720526; 0.8885228; -0.4588324; 0.1414446; 102.5912313; -0.4949023; 0.0077070; 13.4480311; 5.4761067
43.6174582; -26.6174088; 1.2221887; 0.8472113; 0.8873939; -0.4610119; 0.1572039; 103.6135496; -0.4896183; 0.0074001; 13.7301093; 5.4541150
