start_layer,start_idx,end_layer,end_idx,coeffs_x,coeffs_y,kappa,points_x,points_y,raceline
0,0,1,0,144.188 12.0073 0.000912097 -0.000912824,-129.906 -8.9647 0.00122153 -0.0012225,1.35787e-05 1.1433e-05 9.28725e-06 7.14154e-06 4.99583e-06 2.85012e-06 7.04406e-07 -1.44131e-06 -3.58702e-06 -5.73273e-06 -7.87844e-06 -1.00242e-05 -1.21699e-05 -1.43156e-05 -1.64613e-05 -1.8607e-05 -2.07527e-05 -2.28984e-05 -2.50441e-05 -2.71898e-05 0,144.188 -129.906 144.82 -130.378 145.452 -130.85 146.084 -131.322 146.716 -131.793 147.348 -132.265 147.98 -132.737 148.612 -133.209 149.244 -133.681 149.876 -134.152 150.508 -134.624 151.14 -135.096 151.771 -135.568 152.403 -136.04 153.035 -136.512 153.667 -136.983 154.299 -137.455 154.931 -137.927 155.563 -138.399 156.195 -138.871,0
0,0,1,1,144.188 12.0277 -1.6793 1.11923,-129.906 -8.97997 -2.11382 1.40881,-0.0239538 -0.0214574 -0.0189375 -0.0164059 -0.0138711 -0.0113385 -0.00881116 -0.0062899 -0.00377413 -0.0012621 0.0012486 0.00376061 0.00627635 0.00879756 0.0113249 0.0138574 0.0163922 0.0189238 0.0214437 0.0239403 0,144.188 -129.906 144.816 -130.384 145.437 -130.873 146.049 -131.371 146.656 -131.877 147.257 -132.39 147.854 -132.908 148.447 -133.431 149.038 -133.957 149.627 -134.484 150.216 -135.013 150.806 -135.54 151.396 -136.066 151.99 -136.589 152.586 -137.107 153.187 -137.62 153.794 -138.126 154.407 -138.624 155.027 -139.113 155.655 -139.591,0
0,0,1,2,144.188 12.0912 -3.482 2.3188,-129.906 -9.02738 -4.1235 2.74561,-0.0473211 -0.0425371 -0.0375692 -0.0325093 -0.0274238 -0.0223558 -0.0173285 -0.0123488 -0.0074116 -0.00250328 0.00239467 0.00730242 0.0122386 0.0172168 0.0222426 0.0273092 0.0323939 0.0374541 0.0424239 0.047212 0,144.188 -129.906 144.815 -130.392 145.425 -130.899 146.019 -131.424 146.601 -131.964 147.171 -132.517 147.732 -133.082 148.286 -133.654 148.835 -134.233 149.38 -134.816 149.925 -135.399 150.471 -135.982 151.02 -136.561 151.573 -137.134 152.134 -137.698 152.704 -138.252 153.285 -138.793 153.88 -139.318 154.489 -139.825 155.116 -140.311,0
0,1,1,0,143.649 12.0291 1.5513 -1.0345,-130.627 -8.981 2.21321 -1.47588,0.0239755 0.0214753 0.0189517 0.0164163 0.0138778 0.0113415 0.00881043 0.00628551 0.0037661 0.00125043 -0.00126393 -0.00377962 -0.00629906 -0.00882403 -0.0113551 -0.0138915 -0.0164301 -0.0189654 -0.0214889 -0.023989 0,143.649 -130.627 144.286 -131.094 144.931 -131.55 145.583 -131.996 146.241 -132.434 146.903 -132.864 147.57 -133.289 148.24 -133.709 148.912 -134.126 149.585 -134.542 150.259 -134.956 150.933 -135.371 151.605 -135.788 152.274 -136.209 152.941 -136.634 153.604 -137.064 154.261 -137.502 154.913 -137.948 155.558 -138.404 156.195 -138.871,0
0,1,1,1,143.649 12.0063 0.000914202 -0.000914202,-130.627 -8.96395 0.00122435 -0.00122435,1.36123e-05 1.1463e-05 9.31369e-06 7.16438e-06 5.01506e-06 2.86575e-06 7.16438e-07 -1.43288e-06 -3.58219e-06 -5.7315e-06 -7.88081e-06 -1.00301e-05 -1.21794e-05 -1.43288e-05 -1.64781e-05 -1.86274e-05 -2.07767e-05 -2.2926e-05 -2.50753e-05 -2.72246e-05 0,143.649 -130.627 144.281 -131.099 144.913 -131.571 145.545 -132.043 146.177 -132.514 146.809 -132.986 147.441 -133.458 148.073 -133.93 148.705 -134.401 149.336 -134.873 149.968 -135.345 150.6 -135.817 151.232 -136.288 151.864 -136.76 152.496 -137.232 153.128 -137.704 153.76 -138.176 154.392 -138.647 155.024 -139.119 155.655 -139.591,1
0,1,1,2,143.649 12.0267 -1.67266 1.11259,-130.627 -8.97921 -2.10493 1.39992,-0.0238593 -0.021378 -0.0188734 -0.0163572 -0.0138377 -0.0113202 -0.0088079 -0.00630158 -0.0038007 -0.00130355 0.00119223 0.00368923 0.00618984 0.00869579 0.0112077 0.0137248 0.0162441 0.0187604 0.0212655 0.0237479 0,143.649 -130.627 144.278 -131.105 144.898 -131.594 145.511 -132.092 146.117 -132.598 146.719 -133.11 147.315 -133.629 147.909 -134.151 148.5 -134.677 149.089 -135.204 149.678 -135.732 150.267 -136.26 150.858 -136.785 151.451 -137.308 152.048 -137.826 152.649 -138.339 153.255 -138.845 153.868 -139.344 154.488 -139.833 155.116 -140.311,0
0,1,1,3,143.649 12.0902 -3.47534 2.31214,-130.627 -9.02663 -4.11455 2.73667,-0.047231 -0.0424616 -0.0375091 -0.0324645 -0.0273942 -0.022341 -0.0173279 -0.0123622 -0.00743873 -0.0025441 0.00234001 0.00723358 0.0121551 0.0171181 0.0221282 0.0271789 0.0322477 0.0372928 0.0422489 0.047026 0,143.649 -130.627 144.276 -131.113 144.886 -131.62 145.481 -132.144 146.062 -132.684 146.632 -133.238 147.193 -133.802 147.747 -134.374 148.296 -134.953 148.842 -135.535 149.387 -136.119 149.933 -136.701 150.481 -137.28 151.035 -137.853 151.596 -138.418 152.166 -138.971 152.747 -139.512 153.341 -140.037 153.95 -140.545 154.576 -141.032,0
0,2,1,0,143.111 12.0894 2.98164 -1.98656,-131.348 -9.0355 4.53376 -3.02089,0.0475564 0.0427468 0.0377508 0.0326616 0.0275466 0.0224496 0.017394 0.0123869 0.00742285 0.00248806 -0.00243633 -0.00737084 -0.0123343 -0.0173408 -0.0223956 -0.0274919 -0.0326065 -0.0376959 -0.0426928 -0.0475044 0,143.111 -131.348 143.755 -131.812 144.414 -132.253 145.086 -132.674 145.769 -133.078 146.462 -133.467 147.163 -133.845 147.87 -134.213 148.581 -134.574 149.295 -134.932 150.01 -135.288 150.724 -135.646 151.435 -136.007 152.142 -136.376 152.843 -136.753 153.536 -137.142 154.219 -137.546 154.891 -137.967 155.551 -138.408 156.195 -138.871,0
0,2,1,1,143.111 12.0236 1.56033 -1.03902,-131.348 -8.98629 2.22531 -1.48193,0.0241131 0.0216026 0.0190681 0.0165217 0.013972 0.0114244 0.00888215 0.00634613 0.00381571 0.00128913 -0.00123608 -0.0037626 -0.00629288 -0.00882873 -0.0113708 -0.0139182 -0.0164678 -0.0190143 -0.021549 -0.02406 0,143.111 -131.348 143.748 -131.815 144.392 -132.271 145.044 -132.717 145.701 -133.155 146.364 -133.586 147.03 -134.011 147.7 -134.431 148.372 -134.848 149.046 -135.263 149.72 -135.677 150.393 -136.093 151.065 -136.509 151.735 -136.93 152.402 -137.354 153.064 -137.785 153.722 -138.223 154.373 -138.669 155.018 -139.124 155.655 -139.591,0
0,2,1,2,143.111 12.0008 0.0165589 -0.0120505,-131.348 -8.96923 0.0221638 -0.0161283,0.00024651 0.000218186 0.000189862 0.000161537 0.000133213 0.000104889 7.6565e-05 4.82408e-05 1.99167e-05 -8.40739e-06 -3.67315e-05 -6.50556e-05 -9.33798e-05 -0.000121704 -0.000150028 -0.000178352 -0.000206676 -0.000235001 -0.000263325 -0.000291649 0,143.111 -131.348 143.742 -131.82 144.374 -132.292 145.006 -132.764 145.638 -133.236 146.27 -133.707 146.902 -134.179 147.534 -134.65 148.166 -135.122 148.798 -135.594 149.43 -136.065 150.062 -136.537 150.694 -137.008 151.325 -137.48 151.957 -137.952 152.589 -138.423 153.221 -138.895 153.853 -139.367 154.484 -139.839 155.116 -140.311,0
